fname	t0	p_idx	p_prob	s_idx	s_prob	p_amp	s_amp
2008_01_01_000000.00_2B_EW01_mseed	2008-01-01T00:00:00.000	[37749,40065,80668,165163,179292,196707,289660,500297,750780,794340,1057933,1115204,1141696,1164811,1347992,1371067,1391593,1979653,2194515,2294953,2472411,2560820,2574683,2602517,2765630,2817152,2860754,3193032,3259794,3279045,3288969,3323384,3384957,3411520,3417433,3430402,3829836,3835053,3921825,3938144,4381240,4510180,4565335,4887384,4907639,4932581,4985269,4998931,5053652,5157148,5521115,5844171,5894528,6087350,6092881,6126789,6246723,6266165,6295503,6310204,6354753,6560796,6644825,6721323,6796912,6826513,6860689,6878483,6916648,7011768,7051745,7087007,7117556,7118314,7132128,7133532,7156707,7171465,7180291,7215417,7240073,7255707,7259920,7363329,7363993,7376111,7398137,7418491,7490187,7512747,7573081,7600643,7621273,7659668,7701605,7764741,7794752,7875165,7971757,7989181,8049407,8078784,8211639,8309625,8381715,8383507,8484093]	[0.758,0.629,0.690,0.566,0.515,0.686,0.977,0.613,0.877,0.547,0.641,0.668,0.810,0.807,0.714,0.739,0.771,0.833,0.522,0.654,0.800,0.943,0.838,0.676,0.941,0.570,0.869,0.969,0.984,0.978,0.615,0.797,0.980,0.847,0.978,0.894,0.643,0.549,0.627,0.803,0.714,0.804,0.919,0.699,0.867,0.696,0.660,0.922,0.818,0.977,0.914,0.576,0.634,0.756,0.523,0.523,0.507,0.591,0.590,0.656,0.699,0.774,0.714,0.504,0.637,0.564,0.747,0.506,0.690,0.542,0.564,0.520,0.574,0.864,0.558,0.644,0.702,0.780,0.684,0.562,0.504,0.617,0.826,0.618,0.602,0.569,0.739,0.665,0.534,0.543,0.660,0.601,0.627,0.591,0.840,0.513,0.777,0.619,0.585,0.679,0.854,0.514,0.652,0.887,0.904,0.812,0.528]	[80913,126363,165801,179797,181757,290078,303131,357916,500365,589293,929685,1141761,1164967,1371461,1392431,1970147,2158960,2195993,2562482,2701629,2766349,2817558,3193240,3260788,3274430,3279250,3385165,3411730,3415549,3417641,3430611,3716274,3767984,3830948,4372093,4565832,4575986,4578533,4887933,4909049,4998971,5054200,5101349,5157306,5234584,5277505,5287373,5521159,5547877,5583781,5895057,5916481,6064554,6114883,6132054,6172618,6260523,6559752,6592778,6659252,6710999,6725831,6762248,6802885,6833844,6866763,6884605,7024877,7051952,7077843,7117729,7170395,7171816,7180536,7319803,7339173,7363563,7364248,7377341,7420517,7421144,7435787,7586843,7621605,7660389,7695639,7751825,7795300,7898507,7923041,7989470,8006957,8049908,8057340,8187707,8207976,8211997,8235608,8294413,8306981,8309915,8313847,8322613,8382075,8482565,8603909]	[0.551,0.640,0.610,0.620,0.675,0.872,0.505,0.780,0.533,0.568,0.513,0.833,0.544,0.550,0.709,0.588,0.641,0.648,0.735,0.541,0.767,0.691,0.907,0.587,0.846,0.883,0.895,0.918,0.531,0.927,0.925,0.759,0.732,0.523,0.557,0.537,0.778,0.635,0.776,0.647,0.547,0.700,0.545,0.953,0.581,0.729,0.659,0.941,0.560,0.512,0.544,0.677,0.640,0.551,0.648,0.579,0.518,0.644,0.744,0.616,0.762,0.570,0.581,0.680,0.668,0.612,0.521,0.642,0.607,0.680,0.717,0.559,0.540,0.567,0.539,0.504,0.529,0.651,0.722,0.572,0.763,0.571,0.671,0.540,0.503,0.515,0.706,0.543,0.525,0.639,0.627,0.538,0.767,0.817,0.542,0.549,0.660,0.544,0.540,0.552,0.658,0.509,0.564,0.612,0.627,0.608]	[2.044e+01,3.456e+01,2.815e+01,2.074e+01,1.650e+01,2.239e+01,2.873e+03,7.374e+01,1.142e+01,1.038e+01,9.285e+00,8.226e+00,1.271e+02,9.109e+01,1.536e+01,7.291e+00,1.573e+01,1.288e+02,7.327e+00,4.110e+01,6.312e+01,2.381e+01,1.025e+01,6.279e+00,6.084e+00,6.749e+00,9.387e+00,1.192e+01,1.378e+02,1.715e+01,7.523e+00,2.256e+01,2.572e+01,8.012e+00,2.516e+01,1.553e+01,1.134e+01,7.186e+00,3.125e+01,1.323e+02,5.823e+00,1.137e+03,8.112e+00,1.023e+01,1.255e+01,9.261e+00,2.179e+02,7.537e+02,9.182e+00,2.936e+01,1.733e+02,1.288e+01,1.743e+01,1.895e+01,1.717e+01,1.187e+01,1.630e+01,1.771e+01,1.942e+01,4.771e+01,2.600e+01,4.256e+01,1.999e+01,2.013e+01,3.701e+01,4.530e+01,3.293e+01,2.526e+01,2.580e+01,7.387e+01,9.728e+01,4.057e+01,5.742e+01,7.359e+01,4.849e+01,4.852e+01,3.256e+01,5.164e+01,4.154e+01,4.076e+01,3.195e+01,4.885e+01,3.500e+01,5.467e+01,5.111e+01,4.975e+01,6.914e+01,3.600e+01,5.736e+01,6.900e+01,2.959e+01,4.253e+01,5.470e+01,4.916e+01,1.299e+02,4.471e+01,4.786e+01,5.252e+01,3.645e+01,5.687e+01,4.830e+01,3.668e+01,2.433e+01,4.003e+01,3.387e+01,4.818e+01,2.171e+01]	[2.815e+01,2.523e+01,2.244e+01,1.650e+01,3.239e+01,2.873e+03,1.711e+01,9.370e+00,7.374e+01,6.425e+01,1.300e+01,1.271e+02,9.109e+01,7.291e+00,1.573e+01,7.164e+00,8.448e+00,1.356e+01,4.211e+01,7.335e+00,6.084e+00,6.749e+00,1.192e+01,1.910e+02,8.779e+00,1.715e+01,2.572e+01,8.012e+00,9.016e+00,2.516e+01,1.553e+01,2.358e+01,7.451e+00,1.337e+01,9.031e+00,8.112e+00,3.010e+01,5.304e+01,1.023e+01,1.886e+01,7.537e+02,9.182e+00,7.480e+00,2.936e+01,8.061e+00,1.408e+01,4.116e+01,1.733e+02,1.327e+01,9.018e+00,1.743e+01,1.574e+01,1.504e+01,3.555e+01,1.865e+01,2.675e+01,2.664e+01,3.981e+01,3.358e+01,1.928e+01,5.621e+01,3.396e+01,4.162e+01,4.326e+01,2.983e+01,4.816e+01,2.909e+01,4.109e+01,9.728e+01,6.665e+01,5.742e+01,5.125e+01,4.925e+01,3.536e+01,5.963e+01,6.613e+01,5.467e+01,5.111e+01,6.338e+01,4.816e+01,3.505e+01,7.695e+01,3.710e+01,4.376e+01,4.916e+01,3.810e+01,5.503e+01,4.504e+01,2.860e+01,4.958e+01,5.308e+01,3.001e+01,4.830e+01,5.221e+01,3.826e+01,1.586e+01,2.433e+01,2.347e+01,3.344e+01,5.718e+01,2.417e+01,4.384e+01,1.910e+01,2.628e+01,3.043e+01,2.678e+01]
2008_01_01_000000.00_2B_EW02_mseed	2008-01-01T00:00:00.000	[289882,750915,1979675,2355224,2565149,2574732,2765433,3193136,3259507,3279147,3385058,3417536,3430507,4510135,4565487,4575688,4907380,5053720,5218036,6555488,6925601,7323949,7507730]	[0.981,0.559,0.911,0.601,0.672,0.797,0.965,0.896,0.986,0.970,0.974,0.961,0.910,0.964,0.951,0.774,0.970,0.944,0.693,0.719,0.544,0.543,0.522]	[290426,588794,751493,2560914,2562591,2766024,3193405,3260294,3279418,3385330,3417806,3430778,3740413,4483173,4566038,4575872,4578269,4888069,4908593,5053972,5235407,5889931,7324203]	[0.930,0.640,0.574,0.754,0.518,0.959,0.916,0.895,0.944,0.933,0.907,0.905,0.664,0.678,0.837,0.703,0.519,0.548,0.788,0.846,0.522,0.501,0.696]	[7.210e+02,1.546e+01,4.883e+01,6.265e+00,2.048e+01,6.156e+00,2.900e+01,1.269e+01,6.061e+02,1.897e+01,3.429e+01,3.477e+01,1.518e+01,3.947e+02,1.007e+01,2.425e+01,2.510e+01,8.569e+01,8.889e+00,5.681e+01,2.547e+02,8.172e+01,9.157e+01]	[6.648e+02,3.810e+01,1.447e+01,1.670e+01,3.657e+01,2.445e+01,1.269e+01,3.484e+02,1.897e+01,2.039e+01,2.021e+01,7.058e+00,5.547e+02,5.743e+01,1.007e+01,2.425e+01,4.809e+01,6.184e+00,3.818e+01,1.536e+01,4.108e+00,9.151e+01,8.172e+01]
2008_01_01_000000.00_2B_EW03_mseed	2008-01-01T00:00:00.000	[232487,290080,586677,1219799,1347728,1687164,1759660,1979542,2160980,2472273,2672731,2883472,3259421,3538524,4124679,4510027,4593596,5053580,6363987,6556375,6925571,8334329]	[0.771,0.958,0.641,0.598,0.641,0.737,0.576,0.926,0.618,0.570,0.574,0.501,0.985,0.653,0.580,0.964,0.512,0.882,0.504,0.518,0.552,0.591]	[290769,588690,1219887,1350307,1933480,3260158,4512046,4577874,4908286,5053756,8295592]	[0.622,0.825,0.503,0.521,0.612,0.938,0.752,0.749,0.644,0.844,0.592]	[1.059e+03,8.210e+02,4.089e+02,1.451e+03,4.473e+02,5.060e+03,6.229e+02,2.192e+02,3.113e+02,3.690e+02,6.128e+02,8.003e+02,1.731e+03,4.154e+02,3.910e+02,2.504e+03,4.526e+02,3.248e+02,2.868e+02,2.731e+02,2.537e+03,6.151e+02]	[8.210e+02,3.668e+02,1.451e+03,5.504e+02,2.562e+02,1.731e+03,1.175e+03,4.472e+02,2.147e+02,3.248e+02,2.377e+02]
2008_01_01_000000.00_2B_EW05_mseed	2008-01-01T00:00:00.000	[40304,264633,373568,650137,792156,832835,999537,1275481,1347291,1691255,1979851,2019292,2295040,2354795,2523748,2565221,2611892,2765448,3137396,3258814,3369532,3631223,3641392,4108733,4442519,4510149,4716774,4729003,4732958,4756041,4906666,5399276,5622618,5630184,5828427,5912880,6925605,7345680,7456365,7490588,7793804,7855870,8076029,8114041,8211801,8238281,8252384,8334623,8335653,8352246,8374736,8407545,8469964,8525197]	[0.966,0.732,0.882,0.607,0.913,0.769,0.553,0.814,0.717,0.674,0.883,0.666,0.858,0.972,0.587,0.533,0.601,0.716,0.745,0.979,0.947,0.594,0.830,0.627,0.619,0.970,0.955,0.865,0.979,0.572,0.938,0.573,0.529,0.675,0.523,0.760,0.573,0.753,0.596,0.984,0.804,0.924,0.547,0.699,0.876,0.767,0.885,0.757,0.681,0.955,0.644,0.617,0.624,0.546]	[32795,40346,197043,264773,291933,364544,587411,953637,1123640,1265062,1349437,2019334,2060579,2278749,2355067,2367091,2523967,2563357,2612485,2766039,3259142,3365858,3369567,3434667,3641454,3674700,3831285,4082053,4236639,4244461,4345852,4460599,4577768,4717323,4733073,4907427,5218769,5291603,5622630,5912937,7456424,7490638,7595508,7792413,7793865,7847520,7856064,8038825,8068901,8076941,8103977,8120555,8211933,8240200,8252439,8261753,8277748,8352426,8374768,8470000,8514074,8525691,8588112]	[0.780,0.864,0.638,0.888,0.593,0.751,0.631,0.520,0.743,0.692,0.717,0.795,0.646,0.561,0.941,0.524,0.539,0.688,0.645,0.727,0.947,0.528,0.907,0.768,0.737,0.655,0.575,0.651,0.550,0.585,0.667,0.527,0.502,0.755,0.596,0.607,0.509,0.883,0.598,0.587,0.808,0.960,0.550,0.673,0.764,0.599,0.722,0.531,0.690,0.579,0.552,0.545,0.660,0.554,0.565,0.554,0.625,0.889,0.719,0.668,0.572,0.620,0.712]	[5.782e+03,1.731e+02,3.212e+02,2.015e+02,1.559e+02,2.120e+02,1.640e+02,6.217e+01,4.476e+01,1.575e+02,2.983e+01,3.006e+01,2.047e+01,4.738e+01,1.894e+01,1.822e+01,1.908e+01,2.138e+01,2.310e+01,5.983e+03,7.521e+02,8.181e+01,4.644e+01,9.953e+01,3.982e+02,3.556e+02,4.209e+01,6.005e+01,3.980e+02,1.068e+02,1.489e+02,6.402e+01,1.927e+02,2.357e+02,1.118e+02,2.129e+02,1.942e+02,1.212e+02,5.616e+02,1.965e+03,4.611e+02,3.575e+02,1.607e+02,2.391e+02,3.276e+02,2.825e+02,7.526e+02,1.393e+02,1.902e+02,1.301e+03,7.957e+02,1.822e+03,2.744e+02,4.950e+01]	[5.537e+01,5.782e+03,3.125e+01,1.508e+02,1.837e+02,1.510e+02,2.893e+02,6.115e+01,2.481e+02,7.107e+01,1.608e+02,2.894e+01,7.410e+01,3.063e+01,4.738e+01,3.386e+01,1.894e+01,4.226e+01,1.908e+01,2.138e+01,5.983e+03,4.149e+01,7.521e+02,5.315e+01,4.644e+01,2.279e+01,5.108e+01,1.936e+02,9.378e+01,1.281e+01,7.924e+01,1.044e+02,4.210e+02,3.851e+01,2.370e+02,1.489e+02,2.704e+01,4.144e+01,1.927e+02,2.129e+02,5.616e+02,1.965e+03,3.463e+02,2.071e+02,4.611e+02,2.606e+02,3.575e+02,8.533e+02,1.096e+02,1.423e+02,1.747e+02,4.149e+02,3.276e+02,4.557e+02,7.526e+02,1.063e+02,1.913e+02,1.301e+03,7.957e+02,2.744e+02,4.365e+01,4.950e+01,7.703e+01]
2008_01_01_000000.00_2B_EW06_mseed	2008-01-01T00:00:00.000	[152976,154361,156884,180114,191764,249780,261641,291075,426700,581293,585732,600697,974540,1016672,1062352,1307160,1347254,1367460,1371828,1392391,1408589,1420348,1421729,1461361,1636496,1737157,1790728,1917949,1979871,2064012,2071156,2119954,2126560,2192859,2211944,2239884,2295068,2355195,2364319,2368199,2374841,2416988,2523661,2565249,2575014,2720312,2896744,3058731,3143338,3258828,3301804,3982652,4510203,4906438,5217477,5332843,5763302,6310243,7112739,7355563,7586228,7628721,7629845,7682636,7708027,7717243,7875136,7875856,7915353,8024425,8067522,8106201,8114779,8199844,8204028,8334665,8448864]	[0.798,0.651,0.558,0.890,0.602,0.677,0.664,0.793,0.980,0.619,0.898,0.653,0.802,0.769,0.522,0.765,0.910,0.693,0.725,0.747,0.512,0.731,0.812,0.620,0.525,0.519,0.650,0.609,0.936,0.920,0.797,0.860,0.713,0.713,0.592,0.791,0.668,0.915,0.617,0.917,0.721,0.671,0.972,0.712,0.834,0.680,0.858,0.775,0.982,0.971,0.714,0.758,0.973,0.962,0.654,0.624,0.958,0.603,0.724,0.574,0.528,0.730,0.783,0.632,0.560,0.880,0.846,0.509,0.525,0.751,0.963,0.613,0.941,0.702,0.740,0.772,0.934]	[45473,153305,154700,180648,192261,279621,320056,426786,581397,820309,975245,1016791,1045949,1222955,1233387,1393469,1397950,1620267,1636763,1712843,1817966,1868621,1904536,1918024,2064386,2120206,2195642,2239940,2262117,2355326,2368680,2417165,2480742,2523828,2561482,2563547,2766301,2896825,2904802,2959700,3046170,3110315,3143392,3168125,3234765,3259170,3294351,3302041,3831758,4299419,4495644,4512296,4743446,4907064,5763676,6278616,6362722,7356496,7629963,7683286,7717305,7804079,7915416,8067691,8090659,8115035,8204086,8413117]	[0.545,0.671,0.874,0.743,0.782,0.652,0.720,0.886,0.556,0.573,0.721,0.719,0.590,0.737,0.699,0.591,0.607,0.678,0.582,0.540,0.581,0.548,0.622,0.837,0.721,0.917,0.859,0.742,0.713,0.902,0.616,0.699,0.644,0.865,0.794,0.573,0.729,0.903,0.770,0.546,0.607,0.742,0.967,0.571,0.561,0.959,0.564,0.609,0.777,0.692,0.923,0.667,0.913,0.769,0.812,0.610,0.563,0.570,0.745,0.734,0.660,0.714,0.680,0.721,0.866,0.616,0.770,0.567]	[9.988e+00,1.288e+01,5.921e+00,1.486e+01,8.196e+00,1.229e+01,1.674e+01,2.811e+01,4.716e+01,1.285e+01,5.302e+01,1.296e+01,8.992e+00,9.957e+01,9.060e+00,1.169e+01,4.787e+01,9.526e+00,7.638e+00,9.602e+00,8.871e+00,9.198e+00,1.252e+01,1.675e+01,1.030e+01,1.003e+01,9.556e+00,9.925e+00,6.344e+01,1.040e+01,7.892e+00,1.170e+01,7.799e+00,7.522e+00,5.598e+00,5.394e+01,2.052e+01,2.065e+01,1.119e+01,7.087e+00,9.435e+00,1.150e+01,2.231e+01,1.308e+01,1.260e+01,1.323e+01,1.774e+01,7.861e+00,1.861e+02,4.357e+03,5.896e+00,1.134e+01,3.370e+02,9.804e+01,2.157e+01,8.170e+00,3.401e+01,4.839e+01,9.993e+01,1.365e+02,1.109e+02,1.932e+02,4.973e+02,1.573e+02,1.372e+02,8.046e+02,2.472e+02,2.610e+02,2.984e+02,1.590e+02,1.751e+02,2.705e+02,4.842e+02,8.276e+01,1.389e+02,2.632e+02,3.069e+02]	[4.374e+01,9.988e+00,1.095e+01,7.509e+00,8.196e+00,8.082e+00,1.623e+01,4.716e+01,1.285e+01,1.575e+01,7.248e+00,9.957e+01,1.347e+01,1.169e+01,1.039e+01,8.552e+00,1.131e+01,1.302e+01,1.030e+01,7.601e+00,5.824e+00,7.853e+00,7.430e+00,9.925e+00,1.040e+01,1.170e+01,8.303e+00,5.394e+01,1.447e+01,2.065e+01,7.087e+00,1.150e+01,1.275e+01,2.231e+01,8.668e+00,2.489e+01,1.120e+01,1.774e+01,1.114e+01,6.191e+00,5.179e+00,4.748e+00,1.861e+02,7.460e+00,5.138e+00,4.357e+03,7.146e+00,5.896e+00,2.159e+01,1.293e+01,1.731e+01,4.052e+02,2.051e+01,9.804e+01,3.401e+01,2.459e+01,2.135e+01,8.254e+01,4.973e+02,1.573e+02,8.046e+02,3.614e+02,2.984e+02,1.751e+02,6.007e+02,4.842e+02,1.389e+02,8.723e+01]
2008_01_01_000000.00_2B_EW07_mseed	2008-01-01T00:00:00.000	[291292,559213,585720,613552,1347287,2295133,2575108,3258936,3874265,3878523,4182804,4512736,4906356,6925660,7510624,7866004,8334677,8412444]	[0.735,0.579,0.777,0.513,0.718,0.550,0.636,0.986,0.559,0.917,0.761,0.605,0.552,0.729,0.546,0.590,0.774,0.543]	[263970,587062,3259361,3878670,4511176,4512373,4661379,4698120,4769718,5377011,7337063,7384856,8412527]	[0.598,0.554,0.952,0.905,0.610,0.657,0.571,0.699,0.842,0.529,0.602,0.544,0.588]	[5.633e+02,3.603e+02,5.126e+02,1.141e+03,5.149e+02,6.519e+02,2.731e+02,5.280e+03,1.579e+03,1.889e+03,2.699e+03,4.584e+03,7.978e+02,3.064e+03,5.357e+02,8.251e+02,1.299e+03,6.960e+02]	[3.823e+02,6.471e+02,5.280e+03,1.445e+03,2.304e+03,4.584e+03,8.811e+02,3.930e+02,4.364e+02,4.932e+02,7.720e+03,1.968e+03,6.960e+02]
2008_01_01_000000.00_2B_EW08_mseed	2008-01-01T00:00:00.000	[261108,291695,585439,602198,737422,742822,745229,756885,781654,783156,1347224,1979905,2295173,2565380,2575312,2636868,3259205,3323288,3394303,3400612,3440209,3440889,3626523,4510304,4575400,4681935,4953152,5012743,5220297,5222403,5340624,5341860,5401179,5470249,5542228,5637078,6228172,6510657,6580730,6665792,6976261,7143893,7155872,7159072,7186760,7298208,7357435,7367439,7404499,7478754,7898868,7973009,7989782,8003712,8014622,8036753,8063884,8074305,8142211,8185622,8204633,8210216,8326754,8350436,8355249,8395999,8407604,8446461,8576168]	[0.834,0.765,0.851,0.841,0.830,0.827,0.972,0.625,0.925,0.632,0.726,0.643,0.642,0.788,0.862,0.831,0.986,0.769,0.815,0.628,0.558,0.504,0.727,0.970,0.749,0.961,0.567,0.848,0.660,0.943,0.802,0.920,0.544,0.597,0.578,0.604,0.646,0.796,0.919,0.622,0.599,0.590,0.919,0.563,0.524,0.922,0.909,0.533,0.574,0.902,0.703,0.672,0.713,0.564,0.891,0.544,0.698,0.830,0.723,0.646,0.588,0.727,0.808,0.732,0.783,0.824,0.793,0.763,0.697]	[293456,586565,602397,745685,756905,781702,1349337,2575377,2636968,2875788,2951579,3259806,3303059,3323659,3341108,3394553,3400702,4117035,4577397,4682305,4906738,4953207,5012829,5321719,5340694,5341991,5401247,5470307,5542389,5562215,5637608,6228220,6580805,6894125,6976311,7143960,7146245,7155907,7159127,7186917,7284525,7298270,7357574,7367513,7479201,7684121,7823353,7994793,8000576,8014672,8038857,8074363,8125271,8132873,8142267,8185649,8327465,8396039,8407714,8545794,8576341]	[0.501,0.744,0.777,0.898,0.609,0.862,0.541,0.749,0.606,0.615,0.710,0.941,0.705,0.738,0.603,0.781,0.905,0.581,0.526,0.650,0.873,0.800,0.797,0.652,0.715,0.651,0.865,0.622,0.666,0.729,0.568,0.716,0.919,0.500,0.767,0.705,0.732,0.941,0.674,0.644,0.824,0.853,0.795,0.586,0.675,0.797,0.536,0.694,0.674,0.878,0.507,0.578,0.522,0.524,0.822,0.556,0.663,0.524,0.631,0.706,0.630]	[1.268e+02,4.776e+01,2.577e+02,5.669e+01,4.797e+02,4.745e+02,1.425e+02,1.137e+03,1.012e+02,1.167e+02,1.225e+02,4.658e+01,2.391e+01,1.798e+01,4.475e+01,1.692e+02,3.236e+03,4.979e+01,3.854e+01,1.234e+02,5.291e+01,4.209e+01,4.630e+02,3.717e+02,5.861e+01,6.746e+01,1.663e+02,2.077e+02,6.349e+01,9.037e+01,2.516e+02,9.015e+01,2.001e+03,1.000e+02,1.882e+02,2.962e+02,8.436e+02,2.823e+02,1.494e+02,8.143e+02,5.294e+02,3.127e+02,2.734e+02,2.187e+02,1.357e+02,7.420e+01,5.491e+01,3.914e+01,2.564e+02,1.472e+02,2.247e+02,1.833e+03,1.335e+03,1.451e+03,5.041e+03,9.711e+02,1.405e+03,8.895e+02,1.717e+03,3.221e+02,3.822e+03,2.028e+03,1.819e+02,2.579e+02,1.521e+02,1.091e+03,5.997e+02,1.631e+02,7.793e+01]	[1.551e+02,6.071e+02,5.669e+01,1.425e+02,1.137e+03,1.012e+02,2.995e+02,4.475e+01,1.692e+02,4.181e+01,1.576e+01,3.236e+03,7.100e+01,4.979e+01,5.730e+01,3.854e+01,1.234e+02,2.118e+02,1.474e+02,6.746e+01,4.848e+02,1.663e+02,2.077e+02,2.909e+02,2.516e+02,9.015e+01,2.001e+03,1.000e+02,1.818e+02,1.216e+02,2.962e+02,7.892e+02,1.494e+02,3.166e+03,5.294e+02,3.127e+02,1.484e+02,2.734e+02,2.187e+02,5.730e+01,9.943e+01,7.420e+01,5.491e+01,3.914e+01,1.247e+02,7.530e+01,1.160e+02,2.202e+03,1.547e+03,5.041e+03,1.189e+03,8.895e+02,8.780e+02,5.505e+02,1.717e+03,3.221e+02,1.420e+02,1.091e+03,5.997e+02,6.243e+01,7.793e+01]
2008_01_01_000000.00_2B_EW22_mseed	2008-01-01T00:00:00.000	[527742,645785,726033,1237156,1347255,1373340,1732249,1916612,2124973,2945584,3259350,3705424,3740940,4284097,4510332,4906318,5661496,6316035,7134308,8058225,8334685]	[0.946,0.618,0.827,0.538,0.933,0.571,0.707,0.588,0.582,0.548,0.985,0.717,0.721,0.516,0.963,0.894,0.644,0.507,0.620,0.547,0.615]	[293741,726235,743192,840920,1732463,3260052,3439775,3850319,4042256,4123117,4284690,4512538,4906858,5462411,6045922,6554355,7456653,8388168]	[0.634,0.577,0.756,0.612,0.662,0.916,0.550,0.659,0.730,0.663,0.646,0.703,0.856,0.552,0.657,0.680,0.594,0.581]	[4.151e+02,4.212e+02,2.267e+03,9.236e+02,5.431e+02,6.456e+02,3.979e+02,3.024e+02,4.702e+02,2.762e+02,2.534e+03,3.890e+02,4.635e+02,7.337e+02,1.720e+03,7.459e+02,4.512e+02,1.150e+03,1.572e+03,9.203e+02,1.147e+03]	[3.914e+02,6.501e+02,9.555e+02,3.862e+02,3.979e+02,2.404e+03,4.459e+02,5.824e+02,5.448e+02,4.799e+02,7.337e+02,2.013e+03,7.459e+02,2.825e+03,6.470e+02,9.158e+02,1.537e+03,1.283e+03]
2008_01_01_000000.00_2B_EW24_mseed	2008-01-01T00:00:00.000	[497275,884455,1050745,1436313,2289808,2724777,3057460,3092915,3259903,3276393,3313403,3660692,3823585,3832003,3972105,4510483,4541744,4858621,4877659,4997603,5381321,5464129,5544209,5556667,6075988,6156945,6192683,6629336,6630631,7190328,7427529,8187833,8479509]	[0.590,0.872,0.800,0.609,0.772,0.535,0.679,0.956,0.937,0.811,0.852,0.731,0.656,0.706,0.667,0.794,0.586,0.575,0.550,0.800,0.581,0.725,0.532,0.532,0.513,0.823,0.539,0.744,0.516,0.701,0.633,0.599,0.573]	[57884,607539,884624,3093196,3113433,3258983,3261067,3276563,3750316,3785003,3823728,3937979,4488315,4788024,4858755,4990584,4997861,5556289,6515953,6629683,6766717,6978117,7183443,7855380,8479761]	[0.861,0.779,0.828,0.775,0.679,0.904,0.581,0.516,0.557,0.554,0.704,0.731,0.776,0.569,0.811,0.782,0.608,0.532,0.516,0.646,0.532,0.774,0.650,0.685,0.740]	[4.838e+02,3.231e+02,4.453e+02,7.701e+02,2.940e+02,1.687e+02,3.842e+02,1.782e+02,7.321e+02,1.314e+03,1.803e+03,6.937e+02,8.502e+02,1.409e+03,4.346e+02,4.726e+02,4.204e+02,9.589e+02,5.667e+02,4.447e+02,1.197e+03,3.455e+02,5.197e+02,5.667e+02,9.535e+02,6.397e+02,1.808e+03,1.999e+02,3.506e+02,3.216e+03,4.175e+03,5.341e+02,5.528e+02]	[4.828e+03,2.296e+03,3.231e+02,1.288e+02,4.370e+02,3.951e+02,2.766e+02,1.314e+03,7.554e+02,2.144e+02,8.502e+02,4.464e+02,7.274e+02,4.253e+02,9.589e+02,5.639e+02,4.447e+02,5.885e+02,4.902e+03,1.999e+02,1.322e+03,5.012e+02,2.107e+03,1.213e+03,5.528e+02]
2008_01_01_000000.00_2B_NS02_mseed	2008-01-01T00:00:00.000	[10187,289920,750828,1042472,1631104,1706105,2294337,2344246,2472465,2564582,3147993,3260712,3322523,3829546,4469624,4502024,4510831,4565356,4887390,5066975,5427165,6347171,6579372,6767196,6925645,7019309,7092208,7561853,7586155,7777676,7878200,7895881,7982377,8115577,8562600]	[0.534,0.975,0.911,0.629,0.872,0.582,0.681,0.969,0.549,0.793,0.749,0.963,0.799,0.883,0.542,0.627,0.925,0.752,0.869,0.807,0.596,0.825,0.583,0.824,0.545,0.888,0.609,0.973,0.823,0.593,0.579,0.697,0.558,0.547,0.516]	[20391,751281,1163815,1631716,2344957,4565832,4887893,4910981,6579840,6767800,7019771,7562405,7689841,7958196,7958775,8108707,8450221,8563741]	[0.505,0.612,0.732,0.777,0.744,0.796,0.593,0.720,0.692,0.579,0.543,0.636,0.704,0.569,0.583,0.627,0.572,0.524]	[8.895e+01,3.801e+02,5.107e+01,2.577e+01,1.075e+01,7.109e+00,8.735e+01,1.856e+01,2.829e+01,1.556e+01,5.216e+00,2.439e+01,2.348e+01,2.705e+01,2.589e+01,7.145e+00,1.262e+02,1.152e+01,8.158e+00,3.228e+01,7.984e+00,7.120e+00,7.114e+00,2.270e+01,2.622e+02,1.042e+01,6.266e+00,3.626e+01,1.515e+01,1.181e+02,1.354e+02,8.817e+01,1.266e+02,1.385e+02,8.523e+01]	[8.639e+01,5.107e+01,1.914e+01,1.075e+01,1.856e+01,1.152e+01,8.158e+00,7.494e+00,7.114e+00,2.270e+01,1.042e+01,2.714e+01,1.928e+02,3.967e+02,3.098e+02,2.256e+02,1.605e+02,1.121e+02]
